transaction_id,user_id,amount,fee,status,timestamp
T0001,101,51.50,0.75,completed,2023-09-01 00:00:00
T0002,102,53.00,1.00,pending,2023-09-01 01:00:00
T0003,103,54.50,1.25,failed,2023-09-01 02:00:00
T0004,104,56.00,1.50,completed,2023-09-01 03:00:00
T0005,105,57.50,1.75,pending,2023-09-01 04:00:00
T0006,106,59.00,2.00,failed,2023-09-01 05:00:00
T0007,107,60.50,0.75,completed,2023-09-01 06:00:00
T0008,108,62.00,1.00,pending,2023-09-01 07:00:00
T0009,109,63.50,1.25,failed,2023-09-01 08:00:00
T0010,110,65.00,1.50,completed,2023-09-01 09:00:00
T0011,101,66.50,1.75,pending,2023-09-01 10:00:00
T0012,102,68.00,2.00,failed,2023-09-01 11:00:00
T0013,103,69.50,0.75,completed,2023-09-01 12:00:00
T0014,104,71.00,1.00,pending,2023-09-01 13:00:00
T0015,105,72.50,1.25,failed,2023-09-01 14:00:00
T0016,106,74.00,1.50,completed,2023-09-01 15:00:00
T0017,107,75.50,1.75,pending,2023-09-01 16:00:00
T0018,108,77.00,2.00,failed,2023-09-01 17:00:00
T0019,109,78.50,0.75,completed,2023-09-01 18:00:00
T0020,110,80.00,1.00,pending,2023-09-01 19:00:00
T0021,101,81.50,1.25,failed,2023-09-01 20:00:00
T0022,102,83.00,1.50,completed,2023-09-01 21:00:00
T0023,103,84.50,1.75,pending,2023-09-01 22:00:00
T0024,104,86.00,2.00,failed,2023-09-01 23:00:00
T0025,105,87.50,0.75,completed,2023-09-02 00:00:00
T0026,106,89.00,1.00,pending,2023-09-02 01:00:00
T0027,107,90.50,1.25,failed,2023-09-02 02:00:00
T0028,108,92.00,1.50,completed,2023-09-02 03:00:00
T0029,109,93.50,1.75,pending,2023-09-02 04:00:00
T0030,110,95.00,2.00,failed,2023-09-02 05:00:00
T0031,101,96.50,0.75,completed,2023-09-02 06:00:00
T0032,102,98.00,1.00,pending,2023-09-02 07:00:00
T0033,103,99.50,1.25,failed,2023-09-02 08:00:00
T0034,104,101.00,1.50,completed,2023-09-02 09:00:00
T0035,105,102.50,1.75,pending,2023-09-02 10:00:00
T0036,106,104.00,2.00,failed,2023-09-02 11:00:00
T0037,107,105.50,0.75,completed,2023-09-02 12:00:00
T0038,108,107.00,1.00,pending,2023-09-02 13:00:00
T0039,109,108.50,1.25,failed,2023-09-02 14:00:00
T0040,110,110.00,1.50,completed,2023-09-02 15:00:00
T0041,101,111.50,1.75,pending,2023-09-02 16:00:00
T0042,102,113.00,2.00,failed,2023-09-02 17:00:00
T0043,103,114.50,0.75,completed,2023-09-02 18:00:00
T0044,104,116.00,1.00,pending,2023-09-02 19:00:00
T0045,105,117.50,1.25,failed,2023-09-02 20:00:00
T0046,106,119.00,1.50,completed,2023-09-02 21:00:00
T0047,107,120.50,1.75,pending,2023-09-02 22:00:00
T0048,108,122.00,2.00,failed,2023-09-02 23:00:00
T0049,109,123.50,0.75,completed,2023-09-03 00:00:00
T0050,110,125.00,1.00,failed,2023-09-03 01:00:00
